index,country,iso3Code,year,Armed forces (% labor force),government  consumption exp (% of GDP),Population density,"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",immigration_100k
137,Barbados,BRB,2023,0.678983426,0,656.5534884,282336,7.878,93.85979825456194
138,Belarus,BLR,2015,3.100404034,14.92158825,46.61133719,9461076,5.881,2.2196206858501086
139,Belarus,BLR,2016,3.051217639,15.65366671,46.64994482,9469379,5.844,3.590520561063191
140,Belarus,BLR,2017,3.052177266,15.65325113,46.59875953,9458989,5.648,3.277305851608454
141,Belarus,BLR,2018,3.074640637,15.73986266,46.50105922,9438785,4.763,2.701618905399371
142,Belarus,BLR,2019,3.085532555,16.84306624,46.41075062,9419758,4.165,2.6009160744893873
143,Belarus,BLR,2020,3.172507293,16.96488803,46.21121293,9379952,4.049,1.3326294207049247
144,Belarus,BLR,2021,3.172507293,16.81601547,45.83683173,9302585,3.9,1.8811975381036563
145,Belarus,BLR,2022,3.172507293,17.22887773,45.46071728,9228071,3.574,1.4629276259361246
146,Belarus,BLR,2023,3.172507293,18.0560138,45.46071728,9178298,3.461,2.342482233634166
147,Belgium,BEL,2015,0.727807284,23.68120364,371.6808756,11274196,8.482,3.326179534221332
148,Belgium,BEL,2016,0.675842258,23.34989081,373.5674678,11331422,7.83,4.015383064896886
149,Belgium,BEL,2017,0.635257801,23.11780233,375.0093298,11375158,7.09,4.527409641255093
150,Belgium,BEL,2018,0.618437082,23.16961913,374.7435149,11427054,5.941,3.6317322032432857
151,Belgium,BEL,2019,0.505226274,23.00381128,376.761986,11488980,5.364,4.047356684405404
152,Belgium,BEL,2020,0.468319,24.30080459,378.3893225,11538604,5.545,2.989963083922457
153,Belgium,BEL,2021,0.468319,23.84076461,379.9499902,11586195,6.248,4.9628027147825495
154,Belgium,BEL,2022,0.468319,23.49303585,383.0330557,11680210,5.57,5.179701392355103
155,Belgium,BEL,2023,0.468319,23.77194415,383.0330557,11787423,5.528,4.665990182926327
156,Belize,BLZ,2015,0.966887332,17.19067053,15.62178869,356333,7.578,2.8063637103495886
157,Belize,BLZ,2016,0.929108984,18.12338184,15.98882069,364705,7,13.709710588009488
158,Belize,BLZ,2017,1.202776007,18.81922076,16.36133275,373202,6.596,18.756598303331707
159,Belize,BLZ,2018,0.84058572,19.40477488,16.66926786,380226,7.896,15.780088684098404
160,Belize,BLZ,2019,1.053263537,18.75811246,16.91490574,385829,9.053,11.663197945203704
161,Belize,BLZ,2020,1.116719525,17.32873192,17.13336256,390812,10.784,7.676325189605232
162,Belize,BLZ,2021,1.116719525,16.6904216,17.33213503,395346,10.322,17.70600941959701
163,Belize,BLZ,2022,1.116719525,15.80777743,17.65598422,402733,8.763,8.690621329764385
164,Belize,BLZ,2023,1.116719525,15.74601627,17.65598422,411106,8.267,15.811007380091752
165,Benin,BEN,2015,0.206237685,11.41138015,100.7509844,11360681,1.82,2.2885951995307323
166,Benin,BEN,2016,0.198907498,10.28081876,103.7410607,11697842,1.784,2.521832659391365
167,Benin,BEN,2017,0.236156087,10.47898429,106.7735012,12039780,1.659,1.6611599215268054
168,Benin,BEN,2018,0.232573637,10.41050539,109.8203884,12383347,1.41,3.916550186310696
169,Benin,BEN,2019,0.219806951,10.34206324,112.8658656,12726755,1.214,2.6322499333097875
170,Benin,BEN,2020,0.21406286,11.39936215,115.9113959,13070169,1.502,1.7214773580968998
171,Benin,BEN,2021,0.21406286,10.07596453,118.9554541,13413417,1.779,2.609327660505895
172,Benin,BEN,2022,0.21406286,10.05783925,122.024663,13759501,1.685,4.651331469069991
173,Benin,BEN,2023,0.21406286,9.504197323,122.024663,14111034,1.657,4.854357235621429
174,Bermuda,BMU,2019,0,12.25672917,1187.166667,64107,0,0
175,Bermuda,BMU,2020,0,12.72518214,1192.259259,64382,0,0
176,Bermuda,BMU,2022,0,11.89194403,1199.055556,64749,0,0
177,Bhutan,BTN,2015,0,19.13387133,19.43012304,740618,2.45,55.35917301496858
178,Bhutan,BTN,2016,0,18.10532437,19.60638633,747866,2.705,14.039948332990134
