index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
233,Bulgaria,2016,9.1,71.59242,15.58886361,0,6.766
234,Bulgaria,2017,9,71.69407,15.58457694,0,5.147
235,Bulgaria,2018,8.9,71.80724,16.44139557,0,4.703
236,Bulgaria,2019,8.8,71.97405,16.77297548,0,3.39
237,Bulgaria,2020,8.5,71.97405,19.30764507,0,4.635
238,Bulgaria,2021,8.5,71.97405,18.88518604,0,5.216
239,Bulgaria,2022,8.8,71.97405,18.27892906,0,4.007
240,Bulgaria,2023,8.8,71.97405,18.4205974,0,4.136
241,Burkina Faso,2015,40.088,50.6503,15.94408026,0,0
242,Burkina Faso,2016,38.977,50.92322,16.5070966,37.6825,0
243,Burkina Faso,2017,37.898,51.15106,17.73932315,37.6825,0
244,Burkina Faso,2018,37.294,51.26807,18.41940948,32.11638,8.711
245,Burkina Faso,2019,36.689,51.40019,20.49994241,32.11638,9.254
246,Burkina Faso,2020,36.085,51.40019,19.78414015,26.55025,9.254
247,Burkina Faso,2021,35.541,51.40019,20.24798045,26.55025,9.254
248,Burkina Faso,2022,34.952,51.40019,19.87077318,26.55025,7.461
249,Burkina Faso,2023,34.952,51.40019,19.97507117,26.55025,7.66
250,Burundi,2015,41.321,45.57052,22.42238344,0,0
251,Burundi,2016,39.479,45.68405,23.47319363,44.86794,0
252,Burundi,2017,38.124,45.91224,25.08628881,44.86794,0
253,Burundi,2018,37.011,46.47561,26.21026746,39.50542,0
254,Burundi,2019,36.323,46.77393,27.24477,39.50542,0
255,Burundi,2020,35.603,46.77393,31.3443,36.8,7.009
256,Burundi,2021,34.842,46.77393,30.77247,36.8,7.009
257,Burundi,2022,34.109,46.77393,30.9754527,36.8,7.009
258,Burundi,2023,34.109,46.77393,30.50530896,36.8,7.009
259,Cabo Verde,2015,19.181,53.42938,20.25946357,0,38.182
260,Cabo Verde,2016,19.289,53.40924,19.83164452,0,38.182
261,Cabo Verde,2017,19.006,53.98064,17.76753513,0,15.82
262,Cabo Verde,2019,17.463,55.03925,19.8144672,0,13.63
263,Cabo Verde,2020,17.158,55.03925,25.72931048,0,13.63
264,Cabo Verde,2021,16.951,55.03925,26.58763251,0,13.63
265,Cabo Verde,2022,16.686,55.03925,22.365022,0,13.63
266,Cabo Verde,2023,16.686,55.03925,21.75335973,0,13.63
267,Cambodia,2015,22.343,52.87481,5.461082875,0,0.975
268,Cambodia,2016,21.864,53.15749,5.320850037,39.7,1.262
269,Cambodia,2017,21.348,53.38889,5.244503357,39.7,1.262
270,Cambodia,2018,20.805,53.7971,4.948207579,39.7,1.262
271,Cambodia,2019,20.28,53.84483,4.809338638,39.7,0.996
272,Cambodia,2020,19.849,53.84483,5.422165844,39.7,0.341
273,Cambodia,2021,19.334,53.84483,6.565786405,39.7,0.341
274,Cambodia,2022,18.969,53.84483,5.899853929,39.7,0.341
275,Cambodia,2023,18.969,53.84483,6.077860903,39.7,0.341
276,Cameroon,2015,37.807,41.89121,12.25388558,0,0
277,Cameroon,2016,37.747,41.7675,12.12434562,39.21019,0
278,Cameroon,2017,37.403,45.05227,11.68042445,39.21019,0
279,Cameroon,2018,36.716,46.00492,11.92001884,35.94099,0
280,Cameroon,2019,36.147,46.09974,12.09635125,35.94099,0
281,Cameroon,2020,35.507,46.09974,12.2819317,32.67179,0
282,Cameroon,2021,34.938,46.09974,12.04323631,32.67179,11.416
283,Cameroon,2022,34.352,46.09974,10.50755549,32.67179,11.416
284,Cameroon,2023,34.352,46.09974,10.58431522,32.67179,11.416
285,Canada,2015,10.7,79.75597,20.87782513,0,8.246
286,Canada,2016,10.6,79.54094,21.04804019,0,8.229
287,Canada,2017,10.3,79.30059,20.70333139,0,7.445
288,Canada,2018,10.1,79.6798,20.6814327,0,6.91
289,Canada,2019,9.9,79.64043,20.66349609,0,7.122
290,Canada,2020,9.5,79.64043,22.70110776,0,13.072
291,Canada,2021,9.7,79.64043,21.44233714,0,9.976
292,Canada,2022,9,79.64043,20.69168862,0,6.78
293,Canada,2023,9,79.64043,21.20664975,0,6.953
294,Central African Republic,2015,41.044,32.01455,14.77679854,0,0
295,Central African Republic,2016,41.209,31.95495,14.40810862,68.9131,0
296,Central African Republic,2017,41.602,32.35174,14.06703431,68.9131,0
297,Central African Republic,2018,41.831,34.83372,7.700010003,68.9131,0
298,Central African Republic,2019,41.92,35.56585,8.044640002,68.9131,0
299,Central African Republic,2020,42.175,35.56585,9.677040002,68.9131,0
300,Central African Republic,2021,42.68,35.56585,9.140750003,68.9131,0
301,Central African Republic,2022,42.344,35.56585,8.335279997,68.9131,0
302,Central African Republic,2023,42.344,35.56585,8.335279997,68.9131,0
303,Chad,2015,46.367,35.29956,5.1450878,0,0
304,Chad,2016,45.456,36.00847,4.211686912,82.56551,0
