index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
141,Belarus,BLR,2018,4.763,3.074640637,15.73986266,9438785,46.50105922,2.701618905399371
142,Belarus,BLR,2019,4.165,3.085532555,16.84306624,9419758,46.41075062,2.6009160744893873
143,Belarus,BLR,2020,4.049,3.172507293,16.96488803,9379952,46.21121293,1.3326294207049247
144,Belarus,BLR,2021,3.9,3.172507293,16.81601547,9302585,45.83683173,1.8811975381036563
145,Belarus,BLR,2022,3.574,3.172507293,17.22887773,9228071,45.46071728,1.4629276259361246
146,Belarus,BLR,2023,3.461,3.172507293,18.0560138,9178298,45.46071728,2.342482233634166
147,Belgium,BEL,2015,8.482,0.727807284,23.68120364,11274196,371.6808756,3.326179534221332
148,Belgium,BEL,2016,7.83,0.675842258,23.34989081,11331422,373.5674678,4.015383064896886
149,Belgium,BEL,2017,7.09,0.635257801,23.11780233,11375158,375.0093298,4.527409641255093
150,Belgium,BEL,2018,5.941,0.618437082,23.16961913,11427054,374.7435149,3.6317322032432857
151,Belgium,BEL,2019,5.364,0.505226274,23.00381128,11488980,376.761986,4.047356684405404
152,Belgium,BEL,2020,5.545,0.468319,24.30080459,11538604,378.3893225,2.989963083922457
153,Belgium,BEL,2021,6.248,0.468319,23.84076461,11586195,379.9499902,4.9628027147825495
154,Belgium,BEL,2022,5.57,0.468319,23.49303585,11680210,383.0330557,5.179701392355103
155,Belgium,BEL,2023,5.528,0.468319,23.77194415,11787423,383.0330557,4.665990182926327
156,Belize,BLZ,2015,7.578,0.966887332,17.19067053,356333,15.62178869,2.8063637103495886
157,Belize,BLZ,2016,7,0.929108984,18.12338184,364705,15.98882069,13.709710588009488
158,Belize,BLZ,2017,6.596,1.202776007,18.81922076,373202,16.36133275,18.756598303331707
159,Belize,BLZ,2018,7.896,0.84058572,19.40477488,380226,16.66926786,15.780088684098404
160,Belize,BLZ,2019,9.053,1.053263537,18.75811246,385829,16.91490574,11.663197945203704
161,Belize,BLZ,2020,10.784,1.116719525,17.32873192,390812,17.13336256,7.676325189605232
162,Belize,BLZ,2021,10.322,1.116719525,16.6904216,395346,17.33213503,17.70600941959701
163,Belize,BLZ,2022,8.763,1.116719525,15.80777743,402733,17.65598422,8.690621329764385
164,Belize,BLZ,2023,8.267,1.116719525,15.74601627,411106,17.65598422,15.811007380091752
165,Benin,BEN,2015,1.82,0.206237685,11.41138015,11360681,100.7509844,2.2885951995307323
166,Benin,BEN,2016,1.784,0.198907498,10.28081876,11697842,103.7410607,2.521832659391365
167,Benin,BEN,2017,1.659,0.236156087,10.47898429,12039780,106.7735012,1.6611599215268054
168,Benin,BEN,2018,1.41,0.232573637,10.41050539,12383347,109.8203884,3.916550186310696
169,Benin,BEN,2019,1.214,0.219806951,10.34206324,12726755,112.8658656,2.6322499333097875
170,Benin,BEN,2020,1.502,0.21406286,11.39936215,13070169,115.9113959,1.7214773580968998
171,Benin,BEN,2021,1.779,0.21406286,10.07596453,13413417,118.9554541,2.609327660505895
172,Benin,BEN,2022,1.685,0.21406286,10.05783925,13759501,122.024663,4.651331469069991
173,Benin,BEN,2023,1.657,0.21406286,9.504197323,14111034,122.024663,4.854357235621429
174,Bermuda,BMU,2019,0,0,12.25672917,64107,1187.166667,0
175,Bermuda,BMU,2020,0,0,12.72518214,64382,1192.259259,0
176,Bermuda,BMU,2022,0,0,11.89194403,64749,1199.055556,0
177,Bhutan,BTN,2015,2.45,0,19.13387133,740618,19.43012304,55.35917301496858
178,Bhutan,BTN,2016,2.705,0,18.10532437,747866,19.60638633,14.039948332990134
179,Bhutan,BTN,2017,3.016,0,18.18510425,754335,19.77598049,7.2911902536671365
