index,country,iso3Code,year,clean fuels for cooking (% of population),Access to electricity (% of population),Agricultural land (% ),Armed forces (% labor force),precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)",Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",doing business score,"Fertility rate, total (births per woman)",% Firms using banks,GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",GNI per capita (2015 US$),government  consumption exp (% of GDP),"Government expenditure on education, total (% of GDP)",Human Capital Index,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Level of water stress,"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population density,Population growth (annual %),% of total population below 5 meters,Population living in slums (% of urban population),"Population, total",Poverty $2.15 a day (% of population),Poverty $3.65 a day (% of population),Poverty $6.85 a day (% of population),%  Poverty headcount ratio ,Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total debt service (% of GNI),"Total debt service (% of exports of goods, services and primary income)",Unemployment advanced education,Unemployment basic education ,Unemployment intermediate education,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,immigration_100k
31,American Samoa,ASM,2020,0.0,0.0,14.35,0.0,0.0,12.7,0.0,0.0,1.26545393466949,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,4.41176470588236,13194.274740128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.805,-0.896274880494128,4.62737256653892,0.0,49761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,American Samoa,ASM,2021,0.0,0.0,14.5,0.0,0.0,12.7,0.0,0.0,1.2796870470047,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,-0.782472613458523,13233.5784817341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.125,-1.0829920166826,4.62737256653892,0.0,49225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,American Samoa,ASM,2023,0.0,0.0,14.5,0.0,0.0,13.8,0.0,0.0,1.25135612487793,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,1.73501577287065,13709.0974895473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.71,-1.71290294190977,4.62737256653892,0.0,47521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Andorra,AND,2015,100.0,100.0,40.0212765957447,0.0,0.0,0.0,0.0,0.0,1.15172910690308,0.0,0.0,6.91586447,0.0,0.0,0.0,0.0,0.0,1.43414039522716,38654.9347203095,62105.1542389675,0.0,0.0,3.28034996986389,0.0,9.98126871637019,0.0,0.0,0.0,0.0,153.56170212766,-2.14248382559065,0.0,0.0,72174.0,0.0,0.0,0.0,0.0,0.0,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Andorra,AND,2018,100.0,100.0,40.0723404255319,0.0,0.0,7.2,0.0,0.0,1.17894005775452,0.0,0.0,7.37541723,4.4,0.0,0.0,0.0,0.0,1.58876549046354,39242.1448960772,63048.5985572834,0.0,0.0,3.2467200756073,0.0,11.0763337210625,0.0,0.0,0.0,0.0,159.91914893617,1.87885332176802,0.0,0.0,75162.0,0.0,0.0,0.0,0.0,0.0,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Andorra,AND,2019,100.0,100.0,40.0002127659574,0.0,0.0,7.0,0.0,0.0,1.17618942260742,0.0,18.0104704758856,7.323246,3.9,0.0,0.0,0.0,0.0,2.01554763848308,39346.2750344286,63215.899791913,0.0,0.0,3.15060997009277,0.0,11.6998176283166,0.0,0.0,0.0,0.0,162.710638297872,1.73050296926809,0.0,0.0,76474.0,0.0,0.0,0.0,0.0,0.0,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Andorra,AND,2021,100.0,100.0,39.9068085106383,0.0,0.0,7.0,0.0,0.0,1.2796870470047,0.0,14.0596948386118,8.33449364,3.9,0.0,0.0,0.0,0.0,8.28677879049404,36929.0191515162,59332.2029100127,0.0,0.0,2.58397221565247,0.0,12.3626363853047,0.0,0.0,0.0,0.0,166.731914893617,1.26362889534188,0.0,0.0,78364.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Andorra,AND,2023,100.0,100.0,39.9068085106383,0.0,0.0,6.2,0.0,0.0,1.25135612487793,0.0,17.2512710338157,8.33449364,4.6,0.0,0.0,0.0,0.0,2.58355480961319,40227.2335282714,64631.2963909271,0.0,0.0,1.92790997028351,0.0,12.4282261796617,0.0,0.0,0.0,0.0,169.585106382979,1.43374756867515,0.0,0.0,80856.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Angola,AGO,2015,47.3,42.0,36.7281623486003,0.996586478365769,1010.0,42.02,0.0,159.705710507375,-1.42772650718689,17.0,-11.351655507595,2.60579467,8.826,19.8323066990569,37.57368,5.774,0.0,0.943571561325001,3213.90261080059,9980.92988185425,3050.5007732916,16.4328328348133,3.09999990463257,0.0,41.9330921928439,9.35597215533784,1.8718832891,60.655,3.10542629308278,22.5858650838213,3.60507162233632,1.53305214067655,0.0,28157798.0,0.0,0.0,0.0,0.0,36.0,7.76,9.98495846396978,24.7853019209701,0.0,0.0,0.0,16.49,33.0,2.043,0.053271211051375535
40,Angola,AGO,2016,47.8,41.8,36.7562364642657,0.965369075862085,1010.0,41.377,0.0,208.726444198045,-1.48399043083191,20.7,-5.84742399005694,2.71314979,8.555,33.0181373397283,37.65132,5.686,0.0,-2.58004964404932,3020.98332805417,9381.80972573042,2860.17435803722,13.8806850814508,2.75493669509888,0.0,42.6435678702129,30.6944150806719,1.8718832891,61.092,2.73333494465123,23.4082537900056,3.57644143982026,1.53305214067655,56.44953,29183070.0,0.0,0.0,0.0,0.0,36.0,7.01,21.8057666755101,38.0756437635118,0.0,0.0,0.0,16.575,33.0,2.043,0.05139966425739308
